"aeropuertos","total"
"ADOLFO SUÁREZ MADRID-BARAJAS",50420583
"BARCELONA-EL PRAT",44154693
"PALMA DE MALLORCA",26253882
"MALAGA-COSTA DEL SOL",16672776
"ALICANTE-ELCHE",12344945
"GRAN CANARIA",12093645
"TENERIFE-SUR",10472404
"IBIZA",7416368
"LANZAROTE",6683966
"VALENCIA",5799104
"FUERTEVENTURA",5676817
"SEVILLA",4624038
"BILBAO",4588265
"TENERIFE-NORTE",4219191
"MENORCA",3178612
"SANTIAGO",2510740
"GIRONA",1664763
"ASTURIAS",1281979
"LA PALMA",1116146
"MURCIA-SAN JAVIER",1096980
"A CORUÑA",1063291
"VIGO",954006
"ALMERIA",919808
"JEREZ DE LA FRONTERA",916451
"REUS",817611
"SEVE BALLESTEROS-SANTANDER",778318
"FGL GRANADA-JAEN",753142
"ZARAGOZA",419529
"MELILLA",330116
"SAN SEBASTIAN",264422
"VALLADOLID",231868
"EL HIERRO",156439
"PAMPLONA",153476
"LA GOMERA",38042
"VITORIA",36716
"LEON",36554
"BADAJOZ",32963
"LOGROÑO",17374
"SALAMANCA",15526
"CORDOBA",7397
"BURGOS",4682
"SABADELL",4414
"SON BONET",2278
"MADRID-CUATRO VIENTOS",2041
"CEUTA-HELIPUERTO",1654
"ALBACETE",1277
"ALGECIRAS-HELIPUERTO",136
"HUESCA-PIRINEOS",95
